Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
45,F,2,Graduate,Single,$40K - $60K,Blue,36,5,4,3,986,452.3,0.649,5136,0.8,0.686
45,F,2,Unknown,Single,Less than $40K,Silver,36,2,2,3,789,12237.0,0.74,14747,0.724,0.061
45,F,3,Graduate,Single,$40K - $60K,Blue,36,5,2,2,883,5391.0,0.626,4726,0.708,0.141
45,M,5,Doctorate,Married,$120K +,Silver,36,6,1,4,2038,32478.0,1.007,4067,1.206,0.059
45,F,5,Graduate,Married,Less than $40K,Blue,36,4,1,2,1037,1252.0,0.504,4483,0.5,0.453
46,F,1,Graduate,Married,Unknown,Blue,24,3,3,2,1576,1118.0,0.494,2041,0.9,0.585
46,M,2,Graduate,Married,$40K - $60K,Blue,39,4,3,1,0,1610.0,0.689,4958,0.776,0.0
46,F,3,Uneducated,Divorced,$40K - $60K,Blue,39,2,3,2,965,2192.0,0.928,3300,0.568,0.306
46,F,4,Graduate,Married,$40K - $60K,Blue,34,5,3,1,1446,2706.0,0.826,2218,0.304,0.348
47,M,3,Doctorate,Married,$60K - $80K,Blue,36,6,3,1,1214,370.0,0.887,2628,0.64,0.766
47,F,5,Uneducated,Married,Less than $40K,Blue,36,1,6,1,1419,872.0,0.725,4498,0.761,0.619
48,M,4,Graduate,Married,$60K - $80K,Blue,36,2,3,3,1499,573.0,0.598,4091,0.651,0.723
48,F,4,Unknown,Unknown,Less than $40K,Blue,36,4,3,2,1744,662.0,0.694,4748,0.692,0.725
48,F,5,Uneducated,Married,Unknown,Blue,36,4,2,3,2200,3295.0,0.696,5125,0.771,0.4
49,F,2,Uneducated,Married,Less than $40K,Blue,34,6,2,4,1465,3777.0,1.025,4098,0.789,0.279
49,F,3,High School,Divorced,Unknown,Blue,40,3,3,2,0,5267.0,0.442,1353,0.263,0.0
49,F,3,Graduate,Single,Unknown,Blue,37,4,3,4,545,16800.0,0.905,3523,0.829,0.031
49,M,4,High School,Unknown,$80K - $120K,Blue,31,2,3,3,2517,31999.0,0.71,3990,1.031,0.073
49,M,5,Graduate,Married,$60K - $80K,Silver,38,1,1,2,2088,27443.0,0.843,15039,0.69,0.071
50,F,1,High School,Married,Less than $40K,Blue,32,4,1,3,1276,779.0,0.869,5025,0.707,0.621
50,F,1,Graduate,Single,Less than $40K,Blue,36,1,3,4,502,1920.0,0.997,2548,0.484,0.207
50,M,2,College,Married,$60K - $80K,Blue,36,2,2,1,1664,10635.0,0.879,15060,0.915,0.135
50,M,3,High School,Single,$40K - $60K,Blue,31,5,3,3,1597,8352.0,0.659,3776,0.596,0.161
50,F,3,High School,Single,Less than $40K,Silver,38,3,2,2,2167,10402.0,0.634,7344,0.696,0.172
50,F,4,College,Married,Unknown,Blue,36,6,4,3,0,3862.0,0.578,4058,0.723,0.0
51,F,2,Doctorate,Married,Less than $40K,Platinum,42,3,2,3,193,15794.0,0.435,2021,0.394,0.012
51,F,2,College,Single,Less than $40K,Blue,37,4,4,2,2508,756.0,0.887,4966,0.814,0.768
51,M,2,High School,Single,$60K - $80K,Blue,42,1,3,2,1140,15563.0,0.555,15472,0.768,0.068
51,F,2,Unknown,Single,Less than $40K,Blue,43,5,3,2,0,3245.0,0.553,1977,0.261,0.0
53,F,1,Graduate,Married,$40K - $60K,Blue,36,4,1,2,1590,453.0,0.618,4940,0.619,0.778
53,F,0,High School,Single,Less than $40K,Blue,44,4,1,1,886,1018.0,0.695,4798,0.809,0.465
53,M,3,Uneducated,Single,$60K - $80K,Blue,36,6,2,2,1607,5229.0,0.524,4421,0.542,0.235
54,M,5,College,Single,$60K - $80K,Blue,45,6,1,3,0,20401.0,0.723,4637,0.562,0.0
54,F,4,Graduate,Single,Less than $40K,Silver,36,3,2,3,0,13626.0,0.411,1711,0.25,0.0
54,F,2,Graduate,Married,Unknown,Blue,47,4,3,3,1134,1022.0,0.669,4120,0.711,0.526
55,F,1,Uneducated,Unknown,Less than $40K,Blue,36,1,2,1,2222,928.0,0.794,14750,0.655,0.705
56,M,0,High School,Unknown,$120K +,Blue,49,2,2,2,2156,32360.0,0.698,8766,0.814,0.062
56,M,2,Graduate,Married,$60K - $80K,Blue,44,3,1,2,1928,115.0,0.791,2311,0.839,0.944
56,F,2,Graduate,Divorced,Less than $40K,Blue,45,4,2,4,1690,270.0,0.63,3870,0.558,0.862
56,F,3,Graduate,Married,$40K - $60K,Blue,44,6,3,4,0,1544.0,0.315,1902,0.4,0.0
56,M,3,High School,Married,$60K - $80K,Blue,37,3,3,3,2517,12034.0,0.92,1373,0.591,0.173
57,M,2,Unknown,Married,$80K - $120K,Blue,46,2,3,0,1740,17131.0,1.727,1516,2.0,0.092
57,M,2,Graduate,Unknown,$60K - $80K,Blue,45,4,1,2,1584,896.0,0.874,3438,0.784,0.639
57,M,3,College,Married,$80K - $120K,Blue,45,6,3,4,0,14270.0,0.398,1222,0.423,0.0
58,F,1,Doctorate,Married,Less than $40K,Blue,47,5,3,4,2061,434.0,0.849,4399,0.707,0.826
60,F,2,College,Single,Less than $40K,Blue,54,5,3,2,1923,771.0,0.714,3837,0.732,0.714
62,F,1,High School,Married,Less than $40K,Blue,48,5,3,1,1985,1155.0,1.346,1626,0.864,0.632
65,F,0,High School,Single,Unknown,Blue,56,3,6,3,477,5417.0,1.015,1616,0.455,0.081
65,F,1,Unknown,Married,Unknown,Blue,53,5,3,2,2312,13653.0,0.59,1619,0.538,0.145
